iter	RMSE
0	189.4193991
1	179.436314
2	170.3529292
3	162.1980508
4	154.6927488
5	147.8960231
6	141.3635133
7	135.6313017
8	130.274786
9	125.3582863
10	120.5330716
11	115.9682538
12	112.1297586
13	108.332088
14	104.7692633
15	101.6114993
16	98.48715961
17	95.47201249
18	92.56821158
19	89.73529308
20	87.06975868
21	84.75025214
22	82.35641551
23	80.13848107
24	78.10583811
25	76.07580671
26	74.0145352
27	72.02597459
28	70.2003904
29	68.5207075
30	66.74724324
31	65.13277563
32	63.47467313
33	62.01835457
34	60.51347328
35	59.04481601
36	57.70179046
37	56.43105836
38	55.10188637
39	53.91043429
40	52.61602002
41	51.47418113
42	50.37915923
43	49.32362602
44	48.27661967
45	47.29207897
46	46.35651199
47	45.40658173
48	44.47643083
49	43.63882226
50	42.80721222
51	41.99104583
52	41.13243319
53	40.31984902
54	39.57170234
55	38.8270785
56	38.10055195
57	37.42188896
58	36.75133
59	36.06624148
60	35.43549254
61	34.80941202
62	34.14664606
63	33.53641141
64	33.01188542
65	32.46577925
66	31.95775942
67	31.40254224
68	30.89345827
69	30.40714442
70	29.93999923
71	29.44763355
72	28.97154462
73	28.52143522
74	28.04580895
75	27.61223572
76	27.19073024
77	26.78032935
78	26.3593663
79	25.97504317
80	25.5769437
81	25.20941741
82	24.85315408
83	24.49379381
84	24.16669649
85	23.81746617
86	23.47955881
87	23.17161788
88	22.87731839
89	22.57863385
90	22.30366534
91	22.00195713
92	21.71647573
93	21.43810438
94	21.16124161
95	20.91630993
96	20.66585012
97	20.40215419
98	20.15584285
99	19.91554416
