iter	Passed	Remaining
0	3	383
1	7	370
2	11	367
3	14	358
4	18	350
5	22	346
6	25	339
7	29	333
8	32	325
9	35	320
10	38	313
11	42	313
12	46	310
13	49	307
14	53	304
15	57	301
16	60	297
17	64	292
18	67	288
19	71	285
20	74	280
21	77	276
22	81	272
23	84	267
24	87	263
25	91	259
26	94	256
27	98	252
28	101	249
29	105	245
30	108	241
31	112	238
32	115	234
33	119	231
34	122	227
35	125	223
36	129	220
37	132	216
38	136	213
39	140	210
40	144	207
41	147	203
42	150	199
43	154	196
44	157	193
45	161	189
46	165	186
47	168	182
48	172	179
49	176	176
50	179	172
51	183	169
52	186	165
53	190	162
54	194	158
55	197	155
56	201	151
57	205	149
58	210	146
59	214	143
60	218	139
61	222	136
62	227	133
63	231	130
64	235	126
65	239	123
66	243	120
67	249	117
68	256	115
69	261	111
70	265	108
71	269	104
72	273	101
73	276	97
74	280	93
75	283	89
76	287	85
77	291	82
78	294	78
79	298	74
80	303	71
81	307	67
82	310	63
83	314	59
84	317	56
85	320	52
86	324	48
87	327	44
88	331	40
89	334	37
90	338	33
91	342	29
92	346	26
93	349	22
94	353	18
95	356	14
96	360	11
97	363	7
98	366	3
99	369	0
