lat,long,log_price,sqft_living,sqft_lot,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,yr_built
47.4388,-122.162,12.80765263256463,2070.0,9.093132171070641,4.0,2.25,2.0,0.0,0.0,4.0,8.0,2070.0,1986.0
47.6784,-122.285,13.670484785914017,2900.0,8.814479000010714,5.0,3.0,1.0,0.0,0.0,5.0,8.0,1830.0,1977.0
47.5646,-122.129,13.852806342707972,3770.0,9.29596745794362,4.0,2.5,2.0,0.0,2.0,3.0,11.0,3770.0,1997.0
47.6995,-122.228,14.214286677921642,4560.0,9.589393056132515,3.0,3.5,2.0,0.0,2.0,3.0,12.0,4560.0,1990.0
47.6647,-122.083,13.474427708785377,2550.0,8.589885876809678,3.0,2.5,2.0,0.0,0.0,3.0,9.0,2550.0,2004.0
47.3947,-122.174,12.259613412458204,1710.0,9.022684613591526,4.0,2.0,1.5,0.0,0.0,3.0,7.0,1710.0,1970.0
47.6596,-122.144,13.579788224443204,2690.0,8.991811158212718,4.0,2.5,2.0,0.0,0.0,4.0,9.0,2690.0,1987.0
47.6599,-122.396,13.42984807715229,1800.0,8.38958706681109,3.0,2.5,1.0,0.0,0.0,5.0,7.0,1350.0,1970.0
47.5344,-122.068,12.859699067927835,1600.0,7.8674885686991285,3.0,2.5,2.0,0.0,0.0,3.0,8.0,1600.0,2005.0
47.6341,-122.361,13.312983737012978,910.0,8.188966863648876,2.0,1.0,1.0,0.0,0.0,4.0,7.0,910.0,1909.0
47.6052,-122.3,13.366093562326927,1830.0,8.38958706681109,3.0,1.0,1.5,0.0,0.0,4.0,8.0,1720.0,1930.0
47.7733,-122.317,12.86099861326992,1930.0,9.574288799881414,3.0,1.75,1.0,0.0,0.0,3.0,7.0,1130.0,1963.0
47.4908,-122.223,12.072541252905651,1410.0,8.853808274977197,2.0,1.0,1.0,0.0,0.0,3.0,7.0,1410.0,1968.0
47.5419,-122.289,12.80765263256463,1960.0,7.593877844605118,3.0,2.25,2.0,0.0,0.0,3.0,7.0,1750.0,2003.0
47.7093,-121.364,11.982929094215963,1140.0,8.083637203141548,3.0,1.0,1.5,0.0,0.0,4.0,6.0,1140.0,1910.0
47.5194,-122.151,13.883169206438088,4130.0,9.419060402624668,4.0,3.75,2.0,0.0,0.0,3.0,11.0,4130.0,2001.0
47.6255,-122.209,13.592367006650065,1430.0,9.934065253000266,6.0,1.0,2.0,0.0,0.0,3.0,7.0,1430.0,1954.0
47.6398,-121.985,13.58625712930572,4360.0,11.42036051357589,4.0,3.25,1.0,0.0,0.0,3.0,10.0,3360.0,1993.0
47.7133,-122.212,12.779873068457553,1440.0,8.88405606174246,4.0,1.0,1.5,0.0,0.0,3.0,7.0,1440.0,1969.0
47.7434,-122.095,13.068962600677214,1960.0,9.604744532724922,4.0,2.25,1.0,0.0,0.0,4.0,8.0,1330.0,1976.0
47.7074,-122.349,13.091904169919621,1910.0,8.614138397472717,5.0,2.0,1.0,0.0,0.0,3.0,7.0,1020.0,1968.0
47.3065,-122.158,13.742939865129438,5710.0,10.113099969565987,4.0,4.25,2.0,0.0,0.0,3.0,11.0,5710.0,2007.0
47.6145,-122.001,13.732128949025222,2590.0,12.315052603098307,3.0,2.75,2.0,0.0,0.0,3.0,9.0,2590.0,1983.0
47.7328,-122.288,13.235692062711331,2790.0,8.839421607620602,3.0,1.5,1.0,0.0,2.0,3.0,8.0,1700.0,1955.0
47.6179,-122.312,13.390862630439337,1530.0,7.356279876550748,3.0,3.25,2.0,0.0,0.0,3.0,8.0,1280.0,2005.0
47.6432,-122.057,13.215853720491667,1920.0,9.302190025606063,3.0,2.25,2.0,0.0,0.0,3.0,8.0,1920.0,1981.0
47.4483,-121.773,12.577636201962656,1010.0,9.287394001418473,3.0,1.0,1.0,0.0,0.0,4.0,7.0,1010.0,1972.0
47.5533,-122.363,12.524526376648708,520.0,8.476579508530941,1.0,1.0,1.0,0.0,0.0,3.0,5.0,520.0,1930.0
47.2089,-122.011,12.706817629953214,2420.0,9.040619097157967,4.0,2.75,2.0,0.0,0.0,3.0,8.0,2420.0,1997.0
47.6382,-122.359,13.527828485512494,1110.0,8.188966863648876,2.0,1.5,1.0,0.0,0.0,5.0,7.0,1110.0,1904.0
47.2069,-122.024,12.959844447906553,1360.0,13.203617043878896,3.0,2.75,1.0,0.0,2.0,4.0,7.0,1140.0,1955.0
47.7263,-122.363,13.151922179645874,2200.0,8.938662873666118,3.0,1.5,1.0,0.0,0.0,4.0,7.0,1130.0,1942.0
47.6379,-122.112,13.312983737012978,1850.0,9.085230560933338,3.0,1.75,1.0,0.0,0.0,4.0,8.0,1370.0,1973.0
47.31100000000001,-122.21,12.429216196844383,1640.0,8.394121193826242,3.0,2.25,2.0,0.0,0.0,4.0,7.0,1640.0,1918.0
47.7207,-122.222,12.706847933442663,1340.0,9.237663667625073,3.0,1.75,1.0,0.0,0.0,4.0,7.0,1340.0,1961.0
47.5528,-122.221,13.799381176034391,2390.0,9.41678527366734,4.0,2.25,1.0,0.0,0.0,5.0,9.0,2390.0,1962.0
47.5492,-122.008,13.626164386233356,3920.0,8.669742589876522,5.0,4.25,2.0,0.0,0.0,3.0,9.0,3000.0,2000.0
47.389,-122.088,13.091904169919621,2540.0,10.855859458981232,3.0,2.5,1.0,0.0,0.0,4.0,8.0,1820.0,1976.0
47.7279,-122.227,12.631340380934517,1160.0,8.884333185202735,3.0,2.0,1.0,0.0,0.0,3.0,7.0,1160.0,1969.0
47.6332,-122.199,14.452087387035824,4285.0,9.142703723260372,4.0,4.25,2.0,0.0,0.0,3.0,10.0,4285.0,2013.0
47.7657,-122.131,13.149978544437301,2260.0,10.897017064751084,3.0,2.25,1.0,0.0,0.0,3.0,7.0,1450.0,1962.0
47.7466,-122.334,12.55183374958996,830.0,8.70251025718999,2.0,1.0,1.0,0.0,0.0,4.0,6.0,830.0,1954.0
47.2602,-122.284,12.641096555879882,2481.0,8.305484017727691,5.0,2.75,2.0,0.0,0.0,3.0,8.0,2481.0,2014.0
47.515,-121.874,12.89921982609012,1650.0,8.522777569710138,3.0,2.0,1.5,0.0,0.0,3.0,7.0,1650.0,2009.0
47.5324,-121.763,12.644327576461329,1010.0,9.204925739274683,3.0,1.0,1.0,0.0,0.0,4.0,6.0,1010.0,1973.0
47.4945,-122.166,12.441934969252157,1360.0,8.67265729404031,3.0,1.0,1.0,0.0,0.0,4.0,5.0,1360.0,1953.0
47.7183,-122.213,12.718923217703582,1650.0,9.138414632404594,4.0,2.0,1.0,0.0,0.0,4.0,6.0,1650.0,1960.0
47.6103,-122.296,13.122363377404328,1540.0,8.188966863648876,3.0,2.0,1.0,0.0,0.0,3.0,7.0,890.0,1994.0
47.7283,-122.194,12.997933299026151,1510.0,8.94910546953925,3.0,1.75,1.0,0.0,0.0,3.0,7.0,1510.0,1968.0
47.6807,-122.318,13.437174117244362,2290.0,8.699681400989514,4.0,2.0,1.5,0.0,3.0,5.0,7.0,2290.0,1900.0
47.5704,-122.294,12.697715449879391,1630.0,8.587092318795905,4.0,2.5,2.0,0.0,0.0,3.0,7.0,1630.0,1999.0
47.6581,-122.39,13.017002861746503,1520.0,8.566173813637858,4.0,1.75,1.0,0.0,0.0,3.0,6.0,1520.0,1949.0
47.4687,-122.263,12.782686009834167,2100.0,9.42424134192346,3.0,3.5,2.0,0.0,0.0,3.0,9.0,2100.0,1980.0
47.6501,-122.384,13.17115354157376,1560.0,8.699681400989514,3.0,1.75,1.0,0.0,0.0,3.0,6.0,780.0,1944.0
47.6384,-122.343,13.422467969854667,1300.0,7.372118028337787,3.0,2.5,2.0,0.0,0.0,3.0,8.0,1100.0,2014.0
47.6347,-122.013,13.681979165339751,4720.0,9.838522273683768,5.0,4.25,2.0,0.0,0.0,3.0,11.0,3210.0,2005.0
47.3259,-121.896,12.751299696013497,1990.0,9.926569111979449,3.0,2.5,1.5,0.0,0.0,4.0,8.0,1410.0,1987.0
47.5974,-122.017,13.45166712454693,3150.0,9.11943049661634,4.0,3.0,2.0,0.0,0.0,3.0,9.0,3150.0,2001.0
47.7119,-122.23,12.765688433465597,1620.0,9.127610724377186,2.0,1.0,1.0,0.0,0.0,5.0,6.0,850.0,1921.0
47.6087,-122.016,13.45166712454693,2790.0,8.785845337961213,4.0,2.5,2.0,0.0,0.0,3.0,9.0,2790.0,1999.0
47.3497,-122.317,12.89921982609012,2320.0,9.477998292597036,4.0,3.0,2.0,0.0,2.0,3.0,8.0,2320.0,1998.0
47.5313,-122.351,12.706847933442663,1129.0,8.253488028345904,2.0,1.0,1.0,0.0,0.0,3.0,7.0,1129.0,1953.0
47.4227,-122.332,12.487485104968359,1290.0,8.867990898182093,3.0,1.5,1.0,0.0,0.0,3.0,6.0,1290.0,1954.0
47.7502,-122.374,13.353475098367715,2290.0,10.193205052099978,4.0,2.5,2.0,0.0,0.0,3.0,8.0,2290.0,1977.0
47.7009,-122.317,12.65075846679162,1460.0,8.699681400989514,2.0,1.0,1.0,0.0,0.0,2.0,7.0,1260.0,1925.0
47.3012,-122.218,11.957611286231675,920.0,8.681011276645632,2.0,1.0,1.0,0.0,0.0,4.0,6.0,920.0,1950.0
47.3859,-122.221,12.611537753638338,3080.0,9.007489523929735,6.0,2.5,1.0,0.0,0.0,3.0,7.0,1580.0,1985.0
47.3535,-122.323,14.018451401960965,3120.0,10.808858884161006,4.0,2.5,2.0,1.0,4.0,4.0,9.0,2590.0,1974.0
47.6567,-122.327,13.049792684569493,1120.0,8.294299608857235,2.0,1.0,1.0,0.0,0.0,3.0,7.0,1120.0,1926.0
47.7053,-122.126,13.736456528054434,3600.0,8.708804795117285,4.0,2.5,2.0,0.0,0.0,3.0,9.0,3600.0,2014.0
47.3342,-122.34,12.676076274775909,2000.0,9.247154345098899,4.0,2.25,2.0,0.0,1.0,4.0,7.0,2000.0,1967.0
47.7391,-122.256,12.834681304952548,1610.0,9.328212292571072,3.0,1.0,1.0,0.0,0.0,3.0,7.0,1090.0,1975.0
47.635,-122.284,13.800396920154226,1670.0,8.594339400592892,3.0,1.75,2.0,0.0,0.0,5.0,8.0,1670.0,1912.0
47.6395,-122.203,13.652991628466498,2310.0,9.505320746909074,5.0,2.0,1.5,0.0,0.0,4.0,8.0,2310.0,1966.0
47.7757,-122.132,13.070859534537213,1800.0,10.683912741203134,3.0,2.25,1.0,0.0,0.0,4.0,8.0,1800.0,1976.0
47.5196,-122.151,13.812506048943975,3430.0,9.518560095645512,4.0,3.5,2.0,0.0,0.0,3.0,11.0,3430.0,2001.0
47.6763,-122.267,14.079412101750652,3590.0,8.582044163735853,4.0,3.5,2.0,0.0,2.0,3.0,9.0,3140.0,2006.0
47.3491,-122.02,12.254386505808725,1180.0,8.007700012884026,2.0,2.0,2.0,0.0,0.0,3.0,6.0,1180.0,2005.0
