x,y,log_zinc,dist,elev,om,copper,lead,cadmium,dist_m,ffreq,soil
181072,333611,6.9295,0.00135803,7.909,13.6,85,299,11.7,50,1.0,1.0
181025,333558,7.0397,0.0122243,6.983,14.0,81,277,8.6,30,1.0,1.0
181165,333537,6.4615,0.103029,7.8,13.0,68,199,6.5,150,1.0,1.0
181298,333484,5.5491,0.190094,7.655,8.0,81,116,2.6,270,1.0,2.0
181307,333330,5.5947,0.27709,7.48,8.7,48,117,2.8,380,1.0,2.0
181390,333260,5.6384,0.364067,7.791,7.8,61,137,3.0,470,1.0,2.0
181165,333370,5.8464,0.190094,8.217,9.2,31,132,3.2,240,1.0,2.0
181027,333363,6.0064,0.0921516,8.49,9.5,29,150,2.8,120,1.0,1.0
181060,333231,5.8493,0.184614,8.668,10.6,37,133,2.4,240,1.0,1.0
181232,333168,5.2095,0.309702,9.049,6.3,24,80,1.6,420,1.0,2.0
181191,333115,5.2417,0.315116,9.015,6.4,25,86,1.4,400,1.0,2.0
181032,333031,5.5255,0.228123,9.073,9.0,25,97,1.8,300,1.0,1.0
180874,333339,6.9994,0.0,7.32,15.4,93,285,11.2,20,1.0,1.0
180969,333252,6.2226,0.113932,8.815,8.4,31,183,2.5,130,1.0,1.0
181011,333161,5.7869,0.168336,8.937,9.1,27,130,2.0,220,1.0,1.0
180830,333246,6.9393,0.0,7.702,16.2,86,240,9.5,10,1.0,1.0
180763,333104,6.4069,0.0122243,7.16,16.0,74,133,7.0,10,1.0,1.0
180694,332972,6.5667,0.0122243,7.1,16.0,69,148,7.1,10,1.0,1.0
180625,332847,6.5999,0.0,7.02,13.7,69,207,8.7,10,1.0,1.0
180555,332707,6.9584,0.0,6.86,14.8,95,284,12.9,10,1.0,1.0
180642,332708,6.5117,0.0703468,8.908,10.2,53,194,5.5,80,1.0,1.0
180704,332717,5.9965,0.0975136,8.99,7.2,35,123,2.8,140,1.0,1.0
180704,332664,5.8377,0.113932,8.83,7.2,35,110,2.9,160,1.0,1.0
181153,332925,5.3845,0.342321,9.02,7.0,24,85,1.7,440,1.0,2.0
181147,332823,5.2983,0.385804,8.976,6.9,26,75,1.4,490,1.0,2.0
181167,332778,5.2679,0.429289,8.973,6.3,22,76,1.5,530,1.0,2.0
181008,332777,5.3327,0.315116,8.507,5.6,27,73,1.3,400,1.0,2.0
180973,332687,5.193,0.320574,8.743,4.4,24,67,1.3,400,1.0,2.0
180916,332753,5.4806,0.249863,8.973,5.3,22,87,1.8,330,1.0,2.0
181352,332946,5.193,0.489064,9.043,4.8,21,65,1.5,630,1.0,2.0
181133,332570,5.3375,0.472778,8.688,2.6,29,78,1.3,570,1.0,2.0
180878,332489,5.2883,0.287957,8.727,1.0,21,64,1.3,390,1.0,2.0
180829,332450,5.5215,0.271622,8.328,2.4,27,77,2.1,360,1.0,2.0
180954,332399,5.2575,0.385807,7.971,1.9,26,80,1.2,500,1.0,2.0
180956,332318,5.3613,0.418417,7.809,3.1,27,82,1.6,550,1.0,2.0
180710,332330,5.7714,0.244474,6.986,1.6,32,97,3.0,340,1.0,2.0
180632,332445,6.3439,0.135709,7.756,3.5,50,166,5.8,210,1.0,2.0
180530,332538,6.725,0.0484965,7.784,8.1,67,217,7.9,60,1.0,1.0
180478,332578,6.809,0.0,7.0,7.9,77,219,8.1,10,1.0,1.0
180383,332476,7.2821,0.00135803,6.92,9.5,108,405,14.1,20,1.0,1.0
180494,332330,5.6971,0.135709,7.516,1.4,32,102,2.4,170,1.0,2.0
180410,332031,5.553,0.320572,9.28,2.0,21,62,1.3,360,1.0,2.0
180355,332299,6.6147,0.081222,7.94,5.1,51,281,4.2,100,1.0,2.0
180292,332157,6.6147,0.190086,6.36,5.3,50,294,4.3,200,1.0,2.0
180283,332014,6.1399,0.287941,7.78,4.5,38,211,3.1,320,1.0,2.0
180282,331861,5.8999,0.423826,8.18,4.9,26,135,1.7,480,1.0,2.0
180270,331707,5.6419,0.554289,9.42,4.5,24,112,1.7,660,1.0,2.0
180199,331591,5.9269,0.603225,8.867,5.5,32,162,2.1,690,1.0,2.0
180135,331552,5.4027,0.614071,8.292,3.4,24,94,1.7,710,1.0,2.0
180237,332351,6.6995,0.00135803,8.06,11.1,47,191,8.2,10,1.0,1.0
180103,332297,7.3447,0.0,7.98,12.3,128,405,17.0,10,1.0,1.0
179973,332255,7.517,0.0054321,7.9,16.5,117,654,12.0,10,1.0,1.0
179826,332217,7.3317,0.0054321,7.74,13.9,104,482,9.4,10,1.0,1.0
179687,332161,6.8384,0.0054321,7.552,8.1,76,276,8.2,20,1.0,1.0
179792,332035,6.0684,0.146578,7.76,3.1,36,180,2.6,200,1.0,1.0
179902,332113,6.3099,0.135684,6.74,5.8,34,207,3.5,140,1.0,1.0
180100,332213,7.3595,0.0703333,6.68,10.2,90,541,10.9,70,1.0,1.0
179604,332059,7.0817,0.0484831,7.4,12.0,80,310,7.3,20,1.0,1.0
179526,331936,6.8101,0.0054321,7.44,14.1,78,210,9.4,10,1.0,1.0
179495,331770,6.6346,0.0054321,7.36,14.5,77,158,8.3,10,1.0,1.0
179489,331633,6.4907,0.0316663,7.2,14.8,65,141,7.0,20,1.0,1.0
179414,331494,6.4661,0.0122243,7.22,13.3,66,144,6.8,10,1.0,1.0
179334,331366,6.6859,0.0122243,7.36,15.2,72,181,7.4,20,1.0,1.0
179255,331264,6.6644,0.0373395,5.18,11.4,75,173,6.6,20,1.0,1.0
179470,331125,6.966,0.211846,5.8,9.0,75,399,7.8,270,1.0,1.0
